domain,port,group,supported,cipher,tls_version,server_temp_key,reason
abnamro.com,443,X25519MLKEM768,NO,,,"",handshake_failure
abnamro.com,443,SecP256r1MLKEM768,NO,,,"",handshake_failure
abnamro.com,443,SecP384r1MLKEM1024,NO,,,"",handshake_failure
abnamro.com,443,MLKEM512,NO,,,"",handshake_failure
abnamro.com,443,MLKEM768,NO,,,"",handshake_failure
abnamro.com,443,MLKEM1024,NO,,,"",handshake_failure
capitaland.com,443,X25519MLKEM768,YES,TLS_AES_128_GCM_SHA256,,"X25519MLKEM768",
capitaland.com,443,SecP256r1MLKEM768,NO,,,"",handshake_failure
capitaland.com,443,SecP384r1MLKEM1024,NO,,,"",handshake_failure
capitaland.com,443,MLKEM512,NO,,,"",handshake_failure
capitaland.com,443,MLKEM768,NO,,,"",handshake_failure
capitaland.com,443,MLKEM1024,NO,,,"",handshake_failure
blackstone.com,443,X25519MLKEM768,YES,TLS_AES_256_GCM_SHA384,,"X25519MLKEM768",
blackstone.com,443,SecP256r1MLKEM768,NO,,,"",handshake_failure
blackstone.com,443,SecP384r1MLKEM1024,NO,,,"",handshake_failure
blackstone.com,443,MLKEM512,NO,,,"",handshake_failure
blackstone.com,443,MLKEM768,NO,,,"",handshake_failure
blackstone.com,443,MLKEM1024,NO,,,"",handshake_failure
blueowl.com,443,X25519MLKEM768,YES,TLS_AES_128_GCM_SHA256,TLSv1.3,"X25519MLKEM768",
blueowl.com,443,SecP256r1MLKEM768,NO,,,"",handshake_failure
blueowl.com,443,SecP384r1MLKEM1024,NO,,,"",handshake_failure
blueowl.com,443,MLKEM512,NO,,,"",handshake_failure
blueowl.com,443,MLKEM768,NO,,,"",handshake_failure
blueowl.com,443,MLKEM1024,NO,,,"",handshake_failure
bnpparibasfortis.com,443,X25519MLKEM768,NO,,,"",handshake_failure
bnpparibasfortis.com,443,SecP256r1MLKEM768,NO,,,"",handshake_failure
bnpparibasfortis.com,443,SecP384r1MLKEM1024,NO,,,"",handshake_failure
bnpparibasfortis.com,443,MLKEM512,NO,,,"",handshake_failure
bnpparibasfortis.com,443,MLKEM768,NO,,,"",handshake_failure
